game_date,start_time_utc,away_team,home_team,away_score,home_score,winner,away_implied_win_prob,home_implied_win_prob
2026-04-13,2026-04-13 23:40:00+00:00,Boston Red Sox,Minnesota Twins,6,13,Minnesota Twins,0.61,0.39
2026-04-13,2026-04-13 23:45:00+00:00,Cleveland Guardians,St. Louis Cardinals,9,3,Cleveland Guardians,0.53,0.47
2026-04-14,2026-04-14 02:10:00+00:00,New York Mets,Los Angeles Dodgers,0,4,Los Angeles Dodgers,0.35,0.65
2026-04-14,2026-04-14 22:40:00+00:00,Kansas City Royals,Detroit Tigers,1,2,Detroit Tigers,0.49,0.51
2026-04-14,2026-04-14 22:40:00+00:00,Washington Nationals,Pittsburgh Pirates,5,4,Washington Nationals,0.37,0.63
2026-04-14,2026-04-14 22:40:00+00:00,San Francisco Giants,Cincinnati Reds,1,2,Cincinnati Reds,0.49,0.51
2026-04-14,2026-04-14 22:40:00+00:00,Chicago Cubs,Philadelphia Phillies,10,4,Chicago Cubs,0.44,0.56
2026-04-14,2026-04-14 23:05:00+00:00,Los Angeles Angels,New York Yankees,7,1,Los Angeles Angels,0.39,0.61
2026-04-14,2026-04-14 23:15:00+00:00,Miami Marlins,Atlanta Braves,5,6,Atlanta Braves,0.4,0.6
2026-04-14,2026-04-14 23:40:00+00:00,Boston Red Sox,Minnesota Twins,0,6,Minnesota Twins,0.56,0.44
2026-04-14,2026-04-14 23:40:00+00:00,Tampa Bay Rays,Chicago White Sox,8,5,Tampa Bay Rays,0.56,0.44
2026-04-14,2026-04-14 23:40:00+00:00,Toronto Blue Jays,Milwaukee Brewers,9,7,Toronto Blue Jays,0.48,0.52
2026-04-14,2026-04-14 23:45:00+00:00,Cleveland Guardians,St. Louis Cardinals,5,6,St. Louis Cardinals,0.54,0.46
2026-04-15,2026-04-15 00:10:00+00:00,Colorado Rockies,Houston Astros,6,7,Houston Astros,0.38,0.62
2026-04-15,2026-04-15 01:40:00+00:00,Seattle Mariners,San Diego Padres,1,4,San Diego Padres,0.49,0.51
2026-04-15,2026-04-15 02:10:00+00:00,New York Mets,Los Angeles Dodgers,1,2,Los Angeles Dodgers,0.33,0.67
2026-04-15,2026-04-15 17:15:00+00:00,Cleveland Guardians,St. Louis Cardinals,3,5,St. Louis Cardinals,0.51,0.49
2026-04-15,2026-04-15 17:40:00+00:00,Boston Red Sox,Minnesota Twins,9,5,Boston Red Sox,0.54,0.46
2026-04-15,2026-04-15 22:40:00+00:00,Kansas City Royals,Detroit Tigers,1,2,Detroit Tigers,0.46,0.54
2026-04-15,2026-04-15 22:40:00+00:00,Washington Nationals,Pittsburgh Pirates,0,2,Pittsburgh Pirates,0.39,0.61
2026-04-15,2026-04-15 22:40:00+00:00,San Francisco Giants,Cincinnati Reds,3,8,Cincinnati Reds,0.5,0.5
2026-04-15,2026-04-15 22:40:00+00:00,Chicago Cubs,Philadelphia Phillies,11,2,Chicago Cubs,0.45,0.55
2026-04-15,2026-04-15 23:05:00+00:00,Los Angeles Angels,New York Yankees,4,5,New York Yankees,0.37,0.63
2026-04-15,2026-04-15 23:15:00+00:00,Miami Marlins,Atlanta Braves,3,6,Atlanta Braves,0.4,0.6
2026-04-15,2026-04-15 23:40:00+00:00,Tampa Bay Rays,Chicago White Sox,8,3,Tampa Bay Rays,0.52,0.48
2026-04-15,2026-04-15 23:40:00+00:00,Toronto Blue Jays,Milwaukee Brewers,1,2,Milwaukee Brewers,0.53,0.47
2026-04-16,2026-04-16 00:10:00+00:00,Colorado Rockies,Houston Astros,1,3,Houston Astros,0.38,0.62
2026-04-16,2026-04-16 01:40:00+00:00,Seattle Mariners,San Diego Padres,6,7,San Diego Padres,0.52,0.48
2026-04-16,2026-04-16 16:35:00+00:00,Washington Nationals,Pittsburgh Pirates,8,7,Washington Nationals,0.42,0.58
2026-04-16,2026-04-16 16:40:00+00:00,San Francisco Giants,Cincinnati Reds,3,0,San Francisco Giants,0.46,0.54
2026-04-16,2026-04-16 17:10:00+00:00,Kansas City Royals,Detroit Tigers,9,10,Detroit Tigers,0.52,0.48
2026-04-16,2026-04-16 17:35:00+00:00,Los Angeles Angels,New York Yankees,11,4,Los Angeles Angels,0.28,0.72
2026-04-16,2026-04-16 17:40:00+00:00,Toronto Blue Jays,Milwaukee Brewers,1,2,Milwaukee Brewers,0.48,0.52
2026-04-16,2026-04-16 18:10:00+00:00,Tampa Bay Rays,Chicago White Sox,5,3,Tampa Bay Rays,0.55,0.45
2026-04-16,2026-04-16 22:10:00+00:00,Baltimore Orioles,Cleveland Guardians,2,4,Cleveland Guardians,0.47,0.53
2026-04-17,2026-04-17 18:20:00+00:00,New York Mets,Chicago Cubs,4,12,Chicago Cubs,0.42,0.58
2026-04-17,2026-04-17 22:10:00+00:00,Baltimore Orioles,Cleveland Guardians,6,4,Baltimore Orioles,0.46,0.54
2026-04-17,2026-04-17 22:40:00+00:00,Atlanta Braves,Philadelphia Phillies,9,0,Atlanta Braves,0.53,0.47
2026-04-17,2026-04-17 22:45:00+00:00,San Francisco Giants,Washington Nationals,10,5,San Francisco Giants,0.58,0.42
